time,industry,city,total
2016-04-01,製造業,金門縣,1746808
2016-04-01,製造業,南投縣,18106341
2016-04-01,製造業,屏東縣,16768018
2016-04-01,製造業,苗栗縣,78197954
2016-04-01,製造業,桃園市,246152887
2016-04-01,製造業,高雄市,262917003
2016-04-01,製造業,基隆市,3528936
2016-04-01,製造業,連江縣,58807
2016-04-01,製造業,雲林縣,142127028
2016-04-01,製造業,新北市,243517535
2016-04-01,製造業,新竹市,227117349
2016-04-01,製造業,新竹縣,95758682
2016-04-01,製造業,嘉義市,3649132
2016-04-01,製造業,嘉義縣,21839701
2016-04-01,製造業,彰化縣,123436867
2016-04-01,製造業,臺中市,246502392
2016-04-01,製造業,臺北市,290716586
2016-04-01,製造業,臺東縣,554436
2016-04-01,製造業,臺南市,175557674
2016-04-01,製造業,澎湖縣,101956
2016-04-01,醫療保健及社會工作服務業,宜蘭縣,4822
2016-04-01,醫療保健及社會工作服務業,花蓮縣,10894
2016-04-01,醫療保健及社會工作服務業,金門縣,188
2016-04-01,醫療保健及社會工作服務業,南投縣,5515
2016-04-01,醫療保健及社會工作服務業,屏東縣,8180
2016-04-01,醫療保健及社會工作服務業,苗栗縣,723
2016-04-01,醫療保健及社會工作服務業,桃園市,590091
2016-04-01,醫療保健及社會工作服務業,高雄市,2948159
2016-04-01,醫療保健及社會工作服務業,基隆市,2875
2016-04-01,醫療保健及社會工作服務業,連江縣,0
2016-04-01,醫療保健及社會工作服務業,雲林縣,3294
2016-04-01,醫療保健及社會工作服務業,新北市,125228
2016-04-01,醫療保健及社會工作服務業,新竹市,5358
2016-04-01,醫療保健及社會工作服務業,新竹縣,14775
2016-04-01,醫療保健及社會工作服務業,嘉義市,3327
2016-04-01,醫療保健及社會工作服務業,嘉義縣,0
2016-04-01,醫療保健及社會工作服務業,彰化縣,4872
2016-04-01,醫療保健及社會工作服務業,臺中市,133283
2016-04-01,醫療保健及社會工作服務業,臺北市,584485
2016-04-01,醫療保健及社會工作服務業,臺東縣,2472
2016-04-01,醫療保健及社會工作服務業,臺南市,38777
2016-04-01,醫療保健及社會工作服務業,澎湖縣,0
2016-04-01,藝術、娛樂及休閒服務業,宜蘭縣,247165
2016-04-01,藝術、娛樂及休閒服務業,花蓮縣,176064
